,industrial_risk; management_risk; financial_flexibility; credibility; competitiveness; operating_risk; class,Unnamed: 1
0,0.5;1;0;0;0;0.5;bankruptcy,
1,0;1;0;0;0;1;bankruptcy,
2,1;0;0;0;0;1;bankruptcy,
3,0.5;0;0;0.5;0;1;bankruptcy,
4,1;1;0;0;0;1;bankruptcy,
5,1;1;0;0.5;0;0.5;bankruptcy,
6,1;1;0;0;0;0;bankruptcy,
7,1;1;0;0;0;0.5;bankruptcy,
8,1;1;0;0.5;0;0;bankruptcy,
9,1;1;0;0.5;0;1;bankruptcy,
10,1;1;0.5;0;0;1;bankruptcy,
11,0;1;0;0;0;1;bankruptcy,
12,0.5;1;0;0;0;1;bankruptcy,
13,1;1;0;0;0;1;bankruptcy,
14,0;1;0;0;0.5;0.5;bankruptcy,
15,0.5;1;0;0;0;0.5;bankruptcy,
16,0.5;1;0;0;0;0.5;bankruptcy,
17,0.5;0.5;0;0;0;0;bankruptcy,
18,0.5;1;0;0;0;1;bankruptcy,
19,0;0.5;0;0;0;0.5;bankruptcy,
20,0;1;0;0;0;0;bankruptcy,
21,0;0.5;0;0;0;1;bankruptcy,
22,0;1;0;0;0;1;bankruptcy,
23,1;0.5;0;0;0;0;bankruptcy,
24,1;1;0;0;0;0.5;bankruptcy,
25,0.5;0.5;0;0;0;1;bankruptcy,
26,0.5;0.5;0;0;0;1;bankruptcy,
27,0;0;0;0;0;1;bankruptcy,
28,0.5;0;0;0;0;1;bankruptcy,
29,0;0.5;0;0;0;1;bankruptcy,
30,0.5;1;0;0;0;1;bankruptcy,
31,1;1;0;0;0;1;bankruptcy,
32,1;0.5;0;0;0;1;bankruptcy,
33,0;1;0;0;0;1;bankruptcy,
34,1;0;0;0;0;1;bankruptcy,
35,0.5;0;0;0.5;0;1;bankruptcy,
36,1;1;0;1;0;0;bankruptcy,
37,1;1;0;0;0;1;bankruptcy,
38,1;1;0;0.5;0;0.5;bankruptcy,
39,1;1;0;1;0;1;bankruptcy,
40,1;1;0;0;0;0;bankruptcy,
41,1;1;0;0;0;0.5;bankruptcy,
42,1;1;0;0.5;0;0;bankruptcy,
43,1;1;0;0.5;0;1;bankruptcy,
44,1;1;0.5;0;0;1;bankruptcy,
45,0;1;0;0;0;1;bankruptcy,
46,0.5;1;0;0;0;1;bankruptcy,
47,1;1;0;0;0;1;bankruptcy,
48,0;1;0;0;0.5;0.5;bankruptcy,
49,0;1;0;0;0.5;0.5;bankruptcy,
50,0.5;1;0;0;0;0.5;bankruptcy,
51,1;1;0;0;0;0.5;bankruptcy,
52,1;0;0;0;0;1;bankruptcy,
53,0.5;0;0;0.5;0;1;bankruptcy,
54,1;1;0;0;0;1;bankruptcy,
55,1;1;0;0.5;0;0.5;bankruptcy,
56,1;1;0;1;0;1;bankruptcy,
57,1;1;0;0;0;0;bankruptcy,
58,1;1;0;0;0;0.5;bankruptcy,
59,1;1;0;0.5;0;0;bankruptcy,
60,0;1;0;0;0;0;bankruptcy,
61,0;0.5;0;0;0;1;bankruptcy,
62,0;1;0;0;0;1;bankruptcy,
63,1;0.5;0;0;0;0;bankruptcy,
64,1;1;0;0;0;0.5;bankruptcy,
65,0.5;0.5;0;0;0;1;bankruptcy,
66,0.5;0.5;0;0;0;1;bankruptcy,
67,1;1;0;0.5;0;1;bankruptcy,
68,1;1;0.5;0;0;1;bankruptcy,
69,0;1;0;0;0;1;bankruptcy,
70,0.5;1;0;0;0;1;bankruptcy,
71,1;1;0;0;0;1;bankruptcy,
72,1;0.5;1;0.5;0;0;bankruptcy,
73,0;1;0;0;0;1;bankruptcy,
74,1;0.5;0;0;0;0;bankruptcy,
75,1;1;0;0;0;0.5;bankruptcy,
76,0.5;0.5;0;0;0;1;bankruptcy,
77,0.5;0.5;0;0;0;0;bankruptcy,
78,0.5;1;0;0;0;1;bankruptcy,
79,0;0.5;0;0;0;0.5;bankruptcy,
80,0;1;0;0;0;0;bankruptcy,
81,0;0.5;0;0;0;1;bankruptcy,
82,0;1;0;0;0;1;bankruptcy,
83,1;0.5;0;0;0;0;bankruptcy,
84,1;1;0;0;0;0.5;bankruptcy,
85,0.5;0.5;0;0;0;1;bankruptcy,
86,0.5;0.5;0;0;0;1;bankruptcy,
87,0.5;0;0;0;0;1;bankruptcy,
88,0;0.5;0;0;0;1;bankruptcy,
89,0.5;1;0;0;0;1;bankruptcy,
90,1;1;0;0;0;1;bankruptcy,
91,1;0.5;0;0;0;1;bankruptcy,
92,0.5;1;0;0;0;0.5;bankruptcy,
93,0;1;0;0;0;1;bankruptcy,
94,1;0;0;0;0;1;bankruptcy,
95,0.5;0;0;0.5;0;1;bankruptcy,
96,1;1;0;0;0;1;bankruptcy,
97,1;1;0;0.5;0;0.5;bankruptcy,
98,1;1;0;0;0;0;bankruptcy,
99,1;1;0;0;0;0.5;bankruptcy,
100,1;1;0;0.5;0;0;bankruptcy,
101,1;1;0;0.5;0;1;bankruptcy,
102,1;1;0.5;0;0;1;bankruptcy,
103,0;1;0;0;0;1;bankruptcy,
104,0.5;1;0;0;0;1;bankruptcy,
105,1;1;0;0;0;1;bankruptcy,
106,0;1;0;0;0.5;0.5;bankruptcy,
107,0;0;0.5;0.5;0.5;0;non-bankruptcy,
108,1;1;0.5;0.5;0.5;1;non-bankruptcy,
109,0.5;0.5;0.5;0.5;0.5;0.5;non-bankruptcy,
110,0;0;1;1;1;0;non-bankruptcy,
111,1;1;1;1;1;1;non-bankruptcy,
112,0.5;0.5;1;1;1;0.5;non-bankruptcy,
113,0;0;0.5;1;1;0;non-bankruptcy,
114,0;0;1;0.5;0.5;0;non-bankruptcy,
115,0;0;0.5;1;0.5;0;non-bankruptcy,
116,0;0;0.5;0.5;1;0;non-bankruptcy,
117,0;0;1;1;0.5;0;non-bankruptcy,
118,0;0;1;0.5;1;0;non-bankruptcy,
119,1;1;0.5;1;1;1;non-bankruptcy,
120,1;1;1;0.5;0.5;1;non-bankruptcy,
121,1;1;0.5;1;0.5;1;non-bankruptcy,
122,1;1;0.5;1;0.5;1;non-bankruptcy,
123,1;1;0.5;0.5;1;1;non-bankruptcy,
124,1;1;1;1;0.5;1;non-bankruptcy,
125,1;1;1;0.5;1;1;non-bankruptcy,
126,0.5;0.5;0.5;1;1;0.5;non-bankruptcy,
127,0.5;0.5;1;0.5;0.5;0.5;non-bankruptcy,
128,0.5;0.5;0.5;1;0.5;0.5;non-bankruptcy,
129,0.5;0.5;0.5;0.5;1;0.5;non-bankruptcy,
130,0.5;0.5;1;1;0.5;0.5;non-bankruptcy,
131,0.5;0.5;1;0.5;1;0.5;non-bankruptcy,
132,0;1;0.5;0.5;0.5;0;non-bankruptcy,
133,1;0;0.5;0.5;0.5;1;non-bankruptcy,
134,0;1;0.5;0.5;0.5;1;non-bankruptcy,
135,0;1;1;1;1;0;non-bankruptcy,
136,1;0;1;1;1;1;non-bankruptcy,
137,0;1;1;1;1;1;non-bankruptcy,
138,1;1;0.5;1;1;0;non-bankruptcy,
139,0;1;1;0.5;0.5;0;non-bankruptcy,
140,1;0;0.5;1;0.5;0;non-bankruptcy,
141,1;0;0.5;0.5;1;1;non-bankruptcy,
142,0;1;1;1;0.5;1;non-bankruptcy,
143,1;0;1;0.5;1;0.5;non-bankruptcy,
144,0.5;1;0.5;1;1;0.5;non-bankruptcy,
145,0.5;0;1;0.5;0.5;0.5;non-bankruptcy,
146,0.5;0.5;0.5;1;0.5;0;non-bankruptcy,
147,0.5;0.5;0.5;0.5;1;1;non-bankruptcy,
148,1;0.5;1;1;1;1;non-bankruptcy,
149,0.5;1;1;0.5;1;1;non-bankruptcy,
150,0.5;0;1;0.5;1;1;non-bankruptcy,
151,1;1;1;0.5;1;0;non-bankruptcy,
152,1;1;1;1;1;0;non-bankruptcy,
153,0;0.5;1;1;1;1;non-bankruptcy,
154,0.5;0;1;1;1;1;non-bankruptcy,
155,0.5;1;0;0.5;1;0;non-bankruptcy,
156,0.5;0;1;0.5;1;0;non-bankruptcy,
157,0;0.5;1;0.5;1;1;non-bankruptcy,
158,0.5;1;0.5;0.5;1;0;non-bankruptcy,
159,0.5;1;0.5;0.5;1;1;non-bankruptcy,
160,0.5;1;0.5;0.5;1;0.5;non-bankruptcy,
161,0.5;0.5;0;1;1;0.5;non-bankruptcy,
162,0.5;0.5;0;1;1;0;non-bankruptcy,
163,0.5;0;1;1;1;0;non-bankruptcy,
164,0.5;0;0.5;0.5;0.5;0;non-bankruptcy,
165,1;0;0;1;1;0.5;non-bankruptcy,
166,1;1;1;1;1;0.5;non-bankruptcy,
167,0.5;0.5;0.5;1;1;0.5;non-bankruptcy,
168,0.5;0.5;0.5;1;1;0;non-bankruptcy,
169,0;0.5;0.5;1;1;0;non-bankruptcy,
170,0.5;1;0;1;1;0.5;non-bankruptcy,
171,0;1;0;1;1;0.5;non-bankruptcy,
172,0.5;0.5;0;1;1;0;non-bankruptcy,
173,0;0.5;1;0;1;1;non-bankruptcy,
174,0;0.5;0;0.5;1;1;non-bankruptcy,
175,0;0;1;0.5;1;1;non-bankruptcy,
176,0;0.5;1;0;1;1;non-bankruptcy,
177,0;0.5;0.5;1;1;1;non-bankruptcy,
178,0;0;0.5;1;1;0;non-bankruptcy,
179,0;0.5;1;0.5;1;0;non-bankruptcy,
180,0;0;0.5;0.5;1;1;non-bankruptcy,
181,0.5;0.5;0.5;0.5;0.5;0;non-bankruptcy,
182,0;0;0.5;1;1;1;non-bankruptcy,
183,0.5;0;0;1;0.5;0;non-bankruptcy,
184,0.5;0;0.5;1;0.5;0;non-bankruptcy,
185,0;0.5;0;0.5;1;0.5;non-bankruptcy,
186,0.5;0;0;1;0.5;0;non-bankruptcy,
187,0;0.5;0.5;0.5;1;0.5;non-bankruptcy,
188,0.5;0;0.5;1;0.5;0;non-bankruptcy,
189,0.5;0;1;1;1;0;non-bankruptcy,
190,0;0.5;0.5;0;1;0;non-bankruptcy,
191,0.5;0;0.5;0.5;0.5;0;non-bankruptcy,
192,0.5;1;0;0;1;0;non-bankruptcy,
193,1;0;0;1;1;0.5;non-bankruptcy,
194,0;1;0.5;0;0.5;0;non-bankruptcy,
195,1;1;1;1;1;0.5;non-bankruptcy,
196,0.5;0.5;0.5;1;1;0.5;non-bankruptcy,
197,0.5;0.5;0.5;1;1;0;non-bankruptcy,
198,0;0.5;0.5;1;1;0;non-bankruptcy,
199,0.5;1;0;1;1;0.5;non-bankruptcy,
200,0.5;0.5;0;1;1;0;non-bankruptcy,non-bankruptcy
201,0;0.5;1;0;1;1;non-bankruptcy,
202,0;0;1;0.5;1;1;non-bankruptcy,
203,0;0.5;1;0;1;1;non-bankruptcy,
204,0;0.5;0.5;1;1;1;non-bankruptcy,
205,0;0;0.5;1;1;0;non-bankruptcy,
206,0;0.5;1;0.5;1;0;non-bankruptcy,
207,0;0;0.5;0.5;1;1;non-bankruptcy,
208,0.5;0.5;0.5;0.5;0.5;0;non-bankruptcy,
209,0;0;0.5;1;1;1;non-bankruptcy,
210,0.5;0;0;1;0.5;0;non-bankruptcy,
211,0;0.5;0.5;0.5;1;0.5;non-bankruptcy,
212,0.5;0;0.5;1;0.5;0;non-bankruptcy,
213,0.5;0;0;1;0.5;0;non-bankruptcy,
214,0.5;0;0.5;1;0.5;0;non-bankruptcy,
215,0;0;0.5;0.5;0.5;0;non-bankruptcy,
216,1;1;0.5;0.5;0.5;1;non-bankruptcy,
217,0.5;0.5;0.5;0.5;0.5;0.5;non-bankruptcy,
218,0;0;1;1;1;0;non-bankruptcy,
219,1;1;1;1;1;1;non-bankruptcy,
220,0.5;0.5;1;1;1;0.5;non-bankruptcy,
221,0;0;0.5;1;1;0;non-bankruptcy,
222,0;0;1;0.5;0.5;0;non-bankruptcy,
223,0;0;0.5;1;0.5;0;non-bankruptcy,
224,0;0;0.5;0.5;1;0;non-bankruptcy,
225,0;0;1;1;0.5;0;non-bankruptcy,
226,0;0;1;0.5;1;0;non-bankruptcy,
227,1;1;0.5;1;1;1;non-bankruptcy,
228,1;1;1;0.5;0.5;1;non-bankruptcy,
229,1;1;0.5;1;0.5;1;non-bankruptcy,
230,1;1;0.5;1;0.5;1;non-bankruptcy,
231,1;1;0.5;0.5;1;1;non-bankruptcy,
232,1;1;1;1;0.5;1;non-bankruptcy,
233,1;1;1;0.5;1;1;non-bankruptcy,
234,0.5;0.5;0.5;1;1;0.5;non-bankruptcy,
235,0.5;0.5;1;0.5;0.5;0.5;non-bankruptcy,
236,0.5;0.5;0.5;1;0.5;0.5;non-bankruptcy,
237,0.5;0.5;0.5;0.5;1;0.5;non-bankruptcy,
238,0.5;0.5;1;1;0.5;0.5;non-bankruptcy,
239,0.5;0.5;1;0.5;1;0.5;non-bankruptcy,
240,0;1;0.5;0.5;0.5;0;non-bankruptcy,
241,1;0;0.5;0.5;0.5;1;non-bankruptcy,
242,0;1;0.5;0.5;0.5;1;non-bankruptcy,
243,0;1;1;1;1;0;non-bankruptcy,
244,1;0;1;1;1;1;non-bankruptcy,
245,0;1;1;1;1;1;non-bankruptcy,
246,1;1;0.5;1;1;0;non-bankruptcy,
247,0;1;1;0.5;0.5;0;non-bankruptcy,
248,1;0;0.5;1;0.5;0;non-bankruptcy,
249,1;0;0.5;0.5;1;1;non-bankruptcy,
